站號,地區,站名,lng,lat,總車位,可借車位數,可還空位數,營運狀態,可借車佔比
1280,五股區,五股國民運動中心,121.448652,25.095553,36,17,19,1,0.4722222222222222
1281,樹林區,學成大義路口,121.378671,24.945099,46,16,30,1,0.34782608695652173
1282,新莊區,捷運頭前庄站(1號出口),121.460856,25.039365,114,62,52,1,0.543859649122807
1283,淡水區,文化機車立體停車場,121.438806,25.172485,32,11,20,1,0.34375
1284,五股區,成德公園,121.452963,25.105052,36,16,20,1,0.4444444444444444
1285,林口區,頭湖國小,121.372687,25.081673,38,8,30,1,0.21052631578947367
1286,土城區,金城立德路口,121.465481,24.986691,38,2,36,1,0.05263157894736842
1287,三峽區,恩主公醫院,121.363553,24.938912,66,54,11,1,0.8181818181818182
1288,中和區,中和區公所,121.500533,24.998558,24,24,0,1,1
1289,汐止區,忠山市民活動中心,121.624493,25.078202,36,15,21,1,0.4166666666666667
1290,三重區,三重永豐公園,121.478162,25.074629,24,4,20,1,0.16666666666666666
1291,板橋區,臺灣藝術大學,121.448000,25.007502,56,36,20,1,0.6428571428571429
1292,新莊區,新莊體育館,121.452459,25.040766,40,5,34,1,0.125
1293,永和區,永和耕莘醫院,121.517701,25.011232,32,4,22,1,0.125
1295,蘆洲區,永安兒童公園,121.482236,25.082273,40,22,17,1,0.55
1296,中和區,新北市立中和高級中學,121.478230,24.993700,36,19,17,1,0.5277777777777778
1297,林口區,扶輪公園,121.369480,25.072864,40,22,18,1,0.55
1298,中和區,安邦公園,121.496647,24.996867,34,21,13,1,0.6176470588235294
1299,林口區,立德公園,121.367223,25.076441,34,2,32,1,0.058823529411764705
1300,板橋區,新北市政府(新站路),121.466455,25.012614,60,35,23,1,0.5833333333333334
1301,土城區,清水高中,121.465444,24.982756,40,24,15,1,0.6
1302,板橋區,板橋車站,121.463735,25.015519,82,64,17,1,0.7804878048780488
1303,樹林區,樹林國民運動中心,121.422847,25.004186,34,6,27,1,0.17647058823529413
1304,新莊區,捷運輔大站(4號出口),121.436484,25.033025,42,21,21,1,0.5
1305,新莊區,民安東民全街口,121.429556,25.020774,36,10,26,1,0.2777777777777778
1306,三重區,中興北街175巷口,121.471327,25.055970,32,15,16,1,0.46875
1307,汐止區,仁愛路151巷口,121.663885,25.064819,44,2,41,1,0.045454545454545456
1308,五股區,五股工商立體停車場,121.439555,25.082494,40,28,12,1,0.7
1309,土城區,沛陂社區公園,121.419672,24.963289,28,18,10,1,0.6428571428571429
1310,中和區,佳和公園,121.503171,25.006927,34,14,20,1,0.4117647058823529
1311,板橋區,溪頭公園,121.468403,25.033086,32,13,19,1,0.40625
1312,新莊區,龍鳳公園,121.416497,25.021447,40,35,4,1,0.875
1313,新莊區,伊吉邦社區,121.413402,25.030186,40,9,31,1,0.225
1314,樹林區,三多第1市民活動中心,121.404257,25.016361,34,15,19,1,0.4411764705882353
1315,土城區,新北高工,121.449900,24.982770,44,26,18,1,0.5909090909090909
1316,瑞芳區,瑞芳火車站,121.806460,25.108506,38,9,13,1,0.23684210526315788
1317,土城區,長風社區,121.439369,24.978108,28,2,26,1,0.07142857142857142
1318,永和區,永和國民運動中心,121.524246,25.003555,40,16,23,1,0.4
1319,中和區,民樂人行廣場,121.482594,25.001834,36,3,31,1,0.08333333333333333
1320,樹林區,民生親子公園,121.428196,24.992983,30,16,14,1,0.5333333333333333
1321,樹林區,樹林工業區,121.416091,25.000868,38,11,26,1,0.2894736842105263
1322,三峽區,龍埔公園,121.373676,24.938911,36,15,21,1,0.4166666666666667
1323,鶯歌區,尖山國中,121.342089,24.944300,32,15,16,1,0.46875
1324,新店區,新北市立圖書館新店分館,121.540903,24.982138,20,2,25,1,0.1
1325,板橋區,浮洲火車站,121.444447,25.004098,36,20,14,1,0.5555555555555556
1326,土城區,捷運海山站(1號出口),121.448504,24.984695,80,42,38,1,0.525
1327,深坑區,深坑區公所(深坑老街),121.616311,25.0015,50,22,22,1,0.44
1328,深坑區,東南科技大學,121.602501,25.0033,34,20,13,1,0.5882352941176471
1329,中和區,德光國光街口,121.468087,25.003136,34,3,23,1,0.08823529411764706
1330,瑞芳區,猴硐火車站,121.827190,25.086470,14,5,9,1,0.35714285714285715
1331,永和區,永和國父紀念館,121.520234,25.008390,22,9,12,1,0.4090909090909091
1332,五股區,台北得意GO,121.467852,25.074424,30,12,11,1,0.4
1333,板橋區,大觀國中,121.447237,25.011210,40,32,8,1,0.8
1335,三重區,三重五常公園,121.496149,25.080648,28,3,22,1,0.10714285714285714
1336,三重區,三德公園,121.500542,25.074974,28,0,36,1,0
1337,三重區,力行大勇街口,121.481508,25.071928,30,6,24,1,0.2
1338,蘆洲區,蘆洲延平派出所,121.461620,25.081620,36,13,22,1,0.3611111111111111
1339,蘆洲區,永安南路九芎街71巷口,121.466071,25.077564,36,6,29,1,0.16666666666666666
1340,中和區,福和宮,121.501991,25.001110,50,26,24,1,0.52
1341,中和區,飛駝社區(興南路),121.504826,24.983471,32,2,29,1,0.0625
1342,永和區,保平路214巷,121.509208,25.007010,22,2,20,1,0.09090909090909091
1343,汐止區,汐科火車站(南),121.646597,25.062884,64,35,29,1,0.546875
1344,樹林區,樹林國小,121.41791,24.989136,34,10,22,1,0.29411764705882354
1345,鶯歌區,永吉國小,121.333095,24.958747,36,13,21,1,0.3611111111111111
1346,三峽區,中園國小,121.366919,24.927551,32,16,16,1,0.5
1347,三峽區,介壽國小,121.378835,24.930341,30,18,10,1,0.6
1348,三峽區,安溪國中,121.371957,24.926790,32,19,11,1,0.59375
1349,三峽區,龍埔國小,121.376763,24.941224,38,12,26,1,0.3157894736842105
1350,樹林區,大安路與中山路二段口,121.411318,24.983043,34,10,24,1,0.29411764705882354
1351,樹林區,樹林區公所,121.424780,24.989760,40,15,24,1,0.375
1352,蘆洲區,蘆洲重陽大樓,121.481887,25.085055,22,12,10,1,0.5454545454545454
1353,板橋區,埔墘國小,121.473724,25.019078,18,0,18,1,0
1354,中和區,圓通錦和路口,121.491482,24.989236,46,25,21,1,0.5434782608695652
1355,八里區,下庄市場,121.399748,25.146498,30,10,19,1,0.3333333333333333
1356,土城區,亞洲員安路口,121.434796,24.972621,34,8,25,1,0.23529411764705882
1357,樹林區,大安路307巷口,121.417726,24.992158,32,6,26,1,0.1875
1358,淡水區,漁人碼頭,121.411178,25.183869,50,10,39,1,0.2
